2021/09/24 10:57:27 [error] 82092#0: *5223 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: openedu-next.61qt.cn, request: "GET /_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D HTTP/1.1", upstream: "http://127.0.0.1:3000/_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D", host: "openedu-next.61qt.cn", referrer: "http://openedu-next.61qt.cn/bloks/pre-rendering"
2021/09/24 10:57:32 [error] 82092#0: *5223 no live upstreams while connecting to upstream, client: 127.0.0.1, server: openedu-next.61qt.cn, request: "GET /_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D HTTP/1.1", upstream: "http://localhost/_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D", host: "openedu-next.61qt.cn", referrer: "http://openedu-next.61qt.cn/bloks/pre-rendering"
2021/09/24 10:57:38 [error] 82092#0: *5223 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: openedu-next.61qt.cn, request: "GET /_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D HTTP/1.1", upstream: "http://[::1]:3000/_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D", host: "openedu-next.61qt.cn", referrer: "http://openedu-next.61qt.cn/bloks/pre-rendering"
2021/09/24 10:57:38 [error] 82092#0: *5223 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: openedu-next.61qt.cn, request: "GET /_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D HTTP/1.1", upstream: "http://127.0.0.1:3000/_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D", host: "openedu-next.61qt.cn", referrer: "http://openedu-next.61qt.cn/bloks/pre-rendering"
2021/09/24 10:57:44 [error] 82092#0: *5223 no live upstreams while connecting to upstream, client: 127.0.0.1, server: openedu-next.61qt.cn, request: "GET /_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D HTTP/1.1", upstream: "http://localhost/_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D", host: "openedu-next.61qt.cn", referrer: "http://openedu-next.61qt.cn/bloks/pre-rendering"
2021/09/24 10:57:50 [error] 82092#0: *5223 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: openedu-next.61qt.cn, request: "GET /_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D HTTP/1.1", upstream: "http://[::1]:3000/_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D", host: "openedu-next.61qt.cn", referrer: "http://openedu-next.61qt.cn/bloks/pre-rendering"
2021/09/24 10:57:50 [error] 82092#0: *5223 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: openedu-next.61qt.cn, request: "GET /_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D HTTP/1.1", upstream: "http://127.0.0.1:3000/_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D", host: "openedu-next.61qt.cn", referrer: "http://openedu-next.61qt.cn/bloks/pre-rendering"
2021/09/24 10:57:56 [error] 82092#0: *5223 no live upstreams while connecting to upstream, client: 127.0.0.1, server: openedu-next.61qt.cn, request: "GET /_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D HTTP/1.1", upstream: "http://localhost/_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D", host: "openedu-next.61qt.cn", referrer: "http://openedu-next.61qt.cn/bloks/pre-rendering"
2021/09/24 10:58:02 [error] 82092#0: *5223 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: openedu-next.61qt.cn, request: "GET /_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D HTTP/1.1", upstream: "http://[::1]:3000/_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D", host: "openedu-next.61qt.cn", referrer: "http://openedu-next.61qt.cn/bloks/pre-rendering"
2021/09/24 10:58:02 [error] 82092#0: *5223 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: openedu-next.61qt.cn, request: "GET /_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D HTTP/1.1", upstream: "http://127.0.0.1:3000/_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D", host: "openedu-next.61qt.cn", referrer: "http://openedu-next.61qt.cn/bloks/pre-rendering"
